index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
350,6.219000e+01,3.241557e-01,1.243800e+04,1.395785e-02,-9.827313e-01,-9.712668e-01,1.019295e-02,4.416473e-04,4.597797e-04,4.597797e-04
351,1.133000e+02,5.491429e-01,2.266000e+04,1.920945e-02,-9.727713e-01,-9.619538e-01,2.034094e-02,1.622417e-03,4.251798e-04,4.251798e-04
352,1.266000e+02,1.179769e+00,5.064000e+04,2.083037e-02,-9.707804e-01,-9.609688e-01,2.179778e-02,1.556367e-03,4.212342e-04,4.212342e-04
353,1.336150e+02,1.117046e+00,5.344600e+04,2.287373e-02,-9.734754e-01,-9.664344e-01,2.167718e-02,1.670975e-03,3.942541e-04,3.942541e-04
354,1.345400e+02,1.245704e+00,5.381600e+04,2.136478e-02,-9.686592e-01,-9.575453e-01,1.914322e-02,1.490724e-03,3.663016e-04,3.663016e-04
355,1.340867e+02,1.768774e+00,8.045200e+04,2.119461e-02,-9.619381e-01,-9.513584e-01,2.239957e-02,1.969447e-03,3.335391e-04,3.335391e-04
356,1.066750e+02,9.583326e-01,4.267000e+04,1.808055e-02,-9.568274e-01,-9.513399e-01,1.603612e-02,1.748994e-03,3.545707e-04,3.545707e-04
357,5.349500e+01,6.846258e-01,2.139800e+04,7.078995e-03,-9.357172e-01,-9.240437e-01,8.789863e-03,1.072014e-03,3.211474e-04,3.211474e-04
358,6.671000e+01,1.179076e+00,4.002600e+04,8.497393e-03,-8.782200e-01,-8.785081e-01,5.548357e-03,1.733752e-03,3.256946e-04,3.256946e-04
359,1.019200e+02,9.621856e-01,4.076800e+04,1.283012e-02,-9.226054e-01,-9.192638e-01,1.497869e-02,2.404731e-03,3.423102e-04,3.423102e-04
360,1.289100e+02,1.202745e+00,5.156400e+04,1.656035e-02,-9.526874e-01,-9.519562e-01,2.495253e-02,2.581023e-03,3.128293e-04,3.128293e-04
361,1.409050e+02,1.146347e+00,5.636200e+04,1.797549e-02,-9.204315e-01,-9.218941e-01,2.367528e-02,3.831038e-03,2.911211e-04,2.911211e-04
362,1.438733e+02,1.851311e+00,8.632400e+04,1.991556e-02,-9.524324e-01,-9.520044e-01,2.086803e-02,2.130406e-03,3.128775e-04,3.128775e-04
363,1.165500e+02,1.108304e+00,4.662000e+04,1.615232e-02,-9.713038e-01,-9.696182e-01,1.731983e-02,1.177955e-03,2.961011e-04,2.961011e-04
364,7.913000e+01,4.340539e-01,1.582600e+04,1.150057e-02,-9.644991e-01,-9.611728e-01,9.828093e-03,8.008886e-04,2.707852e-04,2.707852e-04
365,7.062000e+01,4.160375e-01,1.412400e+04,1.070765e-02,-9.908789e-01,-9.863374e-01,1.098084e-02,2.851024e-04,2.929895e-04,2.929895e-04
366,6.745000e+01,3.494601e-01,1.349000e+04,2.726526e-02,-9.903810e-01,-9.836273e-01,1.435537e-02,5.108197e-04,2.812991e-04,2.812991e-04
367,9.725000e+01,5.158830e-01,1.945000e+04,4.297029e-02,-9.952997e-01,-9.937193e-01,5.142360e-02,5.502229e-04,2.918612e-04,2.918612e-04
368,1.453400e+02,7.064597e-01,2.906800e+04,6.189544e-02,-9.931083e-01,-9.911724e-01,3.709520e-02,6.812180e-04,3.064149e-04,3.064149e-04
369,1.395100e+02,6.579919e-01,2.790200e+04,6.259604e-02,-9.945457e-01,-9.937892e-01,5.250008e-02,9.246080e-04,3.418978e-04,3.418978e-04
370,1.309350e+02,1.126656e+00,5.237400e+04,6.244059e-02,-9.946978e-01,-9.938290e-01,6.302628e-02,9.790646e-04,3.299533e-04,3.299533e-04
371,1.134700e+02,5.363120e-01,2.269400e+04,5.719465e-02,-9.917859e-01,-9.915465e-01,5.205924e-02,9.687645e-04,4.131758e-04,4.131758e-04
372,1.074300e+02,4.857024e-01,2.148600e+04,5.718542e-02,-9.897641e-01,-9.884549e-01,4.748890e-02,1.418450e-03,3.731529e-04,3.731529e-04
373,5.586000e+01,2.461313e-01,1.117200e+04,3.474355e-02,-9.915202e-01,-9.909010e-01,2.738807e-02,5.814327e-04,4.741575e-04,4.741575e-04
374,0.000000e+00,6.614256e-03,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,3.418978e-04,3.418978e-04
375,0.000000e+00,6.397515e-03,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,3.418978e-04,3.418978e-04
376,4.976000e+01,2.486195e-01,9.952000e+03,3.134971e-03,-9.761534e-01,-9.393661e-01,3.588248e-03,1.804116e-04,-1.410436e-04,-1.410436e-04
377,8.837000e+01,4.263267e-01,1.767400e+04,5.306453e-03,-9.178007e-01,-8.388116e-01,4.113543e-03,7.362990e-04,-1.308624e-04,-1.308624e-04
378,1.315800e+02,1.132557e+00,5.263200e+04,8.213715e-03,-9.061358e-01,-8.564836e-01,7.360337e-03,1.290247e-03,-8.235169e-05,-8.235169e-05
379,1.458800e+02,1.357666e+00,5.835200e+04,9.912404e-03,-9.340056e-01,-9.011030e-01,9.815848e-03,1.333593e-03,-7.312479e-05,-7.312479e-05
380,1.359767e+02,1.843758e+00,8.158600e+04,9.981404e-03,-8.950174e-01,-8.573904e-01,9.945849e-03,2.397379e-03,-5.271145e-05,-5.271145e-05
381,1.362300e+02,1.913581e+00,8.173800e+04,9.853885e-03,-7.795278e-01,-7.433517e-01,7.821617e-03,3.856012e-03,-1.271864e-05,-1.271864e-05
382,9.823500e+01,2.117278e+00,7.858800e+04,8.200800e-03,-7.668718e-01,-7.327121e-01,6.652657e-03,3.596991e-03,9.628751e-07,9.628751e-07
383,6.091333e+01,1.184240e+00,3.654800e+04,5.983493e-03,-6.981295e-01,-6.706175e-01,3.432657e-03,2.989548e-03,1.549192e-05,1.549192e-05
384,8.178000e+01,4.423086e-01,1.635600e+04,2.554411e-03,-9.621308e-01,-9.200239e-01,2.067136e-03,3.084702e-04,1.995797e-05,1.995797e-05
385,9.124000e+01,4.989971e-01,1.824800e+04,2.750225e-03,-9.739044e-01,-9.162777e-01,2.308580e-03,4.550631e-04,2.356837e-05,2.356837e-05
386,1.309700e+02,6.380110e-01,2.619400e+04,3.128399e-03,-9.590140e-01,-8.840540e-01,2.495377e-03,4.567009e-04,-8.572806e-06,-8.572806e-06
387,1.429800e+02,6.513240e-01,2.859600e+04,3.205571e-03,-9.711295e-01,-8.821948e-01,3.058982e-03,5.191125e-04,-4.180283e-05,-4.180283e-05
388,1.344900e+02,6.133584e-01,2.689800e+04,2.772809e-03,-9.371793e-01,-8.447591e-01,2.918939e-03,9.272192e-04,-4.759372e-05,-4.759372e-05
389,1.330200e+02,5.128235e-01,2.660400e+04,2.612592e-03,-9.003020e-01,-7.717873e-01,2.158507e-03,8.552624e-04,-5.699345e-05,-5.699345e-05
390,9.982000e+01,5.003516e-01,1.996400e+04,1.758076e-03,-8.784143e-01,-6.816695e-01,1.488252e-03,7.629626e-04,-6.097924e-05,-6.097924e-05
391,3.500000e+01,2.860421e-01,7.000000e+03,5.272787e-04,-8.037394e-01,-7.371356e-01,9.192514e-04,3.440055e-04,-8.562440e-05,-8.562440e-05
392,5.035000e+01,3.306791e-01,1.007000e+04,5.828213e-03,-9.648101e-01,-8.816020e-01,5.106338e-03,9.100609e-04,-1.065968e-04,-1.065968e-04
393,1.114150e+02,9.968539e-01,4.456600e+04,1.802791e-02,-9.554836e-01,-9.054747e-01,1.253132e-02,2.336870e-03,-1.095964e-04,-1.095964e-04
394,1.339900e+02,1.890350e+00,8.039400e+04,2.241548e-02,-9.521636e-01,-9.139672e-01,1.715830e-02,3.305048e-03,-1.015014e-04,-1.015014e-04
395,1.469450e+02,1.224522e+00,5.877800e+04,2.891442e-02,-9.714466e-01,-9.570778e-01,2.519950e-02,3.311154e-03,-7.317299e-05,-7.317299e-05
396,1.317450e+02,1.231936e+00,5.269800e+04,3.362097e-02,-9.675526e-01,-9.303488e-01,2.387967e-02,4.076344e-03,-1.408308e-04,-1.408308e-04
397,1.367350e+02,1.131722e+00,5.469400e+04,3.812547e-02,-9.744884e-01,-9.549010e-01,2.542830e-02,3.210433e-03,-1.234785e-04,-1.234785e-04
398,9.912000e+01,4.934177e-01,1.982400e+04,3.093079e-02,-9.783352e-01,-9.430362e-01,2.236552e-02,2.503844e-03,-9.487044e-05,-9.487044e-05
399,5.215000e+01,3.503867e-01,1.043000e+04,1.929558e-02,-9.549667e-01,-8.952203e-01,1.023776e-02,2.176508e-03,-2.215500e-04,-2.215500e-04
400,5.464000e+01,3.565070e-01,1.092800e+04,1.813062e-02,-9.819447e-01,-9.795523e-01,1.566167e-02,6.884045e-04,-1.696141e-04,-1.696141e-04
401,9.982000e+01,4.294924e-01,1.996400e+04,3.044145e-02,-9.694100e-01,-9.647341e-01,2.804927e-02,1.963813e-03,-1.944981e-05,-1.944981e-05
402,1.247350e+02,1.195946e+00,4.989400e+04,3.239659e-02,-9.816750e-01,-9.807708e-01,3.578464e-02,1.643433e-03,1.711134e-05,1.711134e-05
403,1.316550e+02,1.232724e+00,5.266200e+04,3.121550e-02,-9.760484e-01,-9.738223e-01,3.552382e-02,1.927745e-03,7.670648e-05,7.670648e-05
404,1.430550e+02,1.201747e+00,5.722200e+04,3.215284e-02,-9.738987e-01,-9.715231e-01,3.043178e-02,1.972415e-03,1.202592e-04,1.202592e-04
405,1.406950e+02,1.291988e+00,5.627800e+04,2.872655e-02,-9.707715e-01,-9.707839e-01,2.827562e-02,2.044776e-03,1.647003e-04,1.647003e-04
406,9.926000e+01,9.186605e-01,3.970400e+04,1.971060e-02,-9.711815e-01,-9.702768e-01,1.633469e-02,1.388082e-03,2.078232e-04,2.078232e-04
407,5.437000e+01,3.415229e-01,1.087400e+04,8.249210e-03,-9.320507e-01,-9.238108e-01,5.508914e-03,1.026426e-03,2.168107e-04,2.168107e-04
