Knot_index,x,y,sol_analytic,sol_PDDS_GM,sol_PDDS_EM,err,rerr,sbias
487,-1.555556e+01,2.000000e+01,2.714919e+00,2.701032e+00,2.686543e+00,-1.388737e-02,5.115207e-03,1.448852e-02
488,-1.444444e+01,2.000000e+01,2.738899e+00,2.726467e+00,2.711251e+00,-1.243163e-02,4.538914e-03,1.521581e-02
489,-1.333333e+01,2.000000e+01,2.765086e+00,2.735367e+00,2.731033e+00,-2.971859e-02,1.074780e-02,4.334853e-03
490,-1.222222e+01,2.000000e+01,2.793423e+00,2.777441e+00,2.760889e+00,-1.598159e-02,5.721148e-03,1.655252e-02
491,-1.111111e+01,2.000000e+01,2.823792e+00,2.811016e+00,2.794536e+00,-1.277549e-02,4.524234e-03,1.648038e-02
492,-8.888889e+00,2.000000e+01,2.889437e+00,2.869716e+00,2.848446e+00,-1.972073e-02,6.825113e-03,2.127009e-02
493,-7.777778e+00,2.000000e+01,2.923605e+00,2.903403e+00,2.880477e+00,-2.020191e-02,6.909933e-03,2.292549e-02
494,-6.666667e+00,2.000000e+01,2.957568e+00,2.934521e+00,2.908131e+00,-2.304686e-02,7.792504e-03,2.639025e-02
495,-5.555556e+00,2.000000e+01,2.990299e+00,2.962533e+00,2.933317e+00,-2.776609e-02,9.285388e-03,2.921652e-02
496,-4.444444e+00,2.000000e+01,3.020728e+00,2.987142e+00,2.958015e+00,-3.358579e-02,1.111844e-02,2.912729e-02
497,-3.333333e+00,2.000000e+01,3.047848e+00,3.014139e+00,2.985558e+00,-3.370845e-02,1.105975e-02,2.858077e-02
498,-2.222222e+00,2.000000e+01,3.070804e+00,3.044346e+00,3.003192e+00,-2.645855e-02,8.616164e-03,4.115327e-02
499,-1.111111e+00,2.000000e+01,3.088937e+00,3.072316e+00,3.035042e+00,-1.662069e-02,5.380716e-03,3.727381e-02
500,1.111111e+00,2.000000e+01,3.108983e+00,3.080419e+00,3.036477e+00,-2.856448e-02,9.187724e-03,4.394107e-02
501,2.222222e+00,2.000000e+01,3.110342e+00,3.082196e+00,3.038239e+00,-2.814600e-02,9.049166e-03,4.395769e-02
502,3.333333e+00,2.000000e+01,3.105669e+00,3.076696e+00,3.009985e+00,-2.897335e-02,9.329180e-03,6.671122e-02
503,4.444444e+00,2.000000e+01,3.094807e+00,3.070748e+00,3.037183e+00,-2.405896e-02,7.773978e-03,3.356511e-02
504,5.555556e+00,2.000000e+01,3.077626e+00,3.047609e+00,3.003213e+00,-3.001761e-02,9.753494e-03,4.439574e-02
505,6.666667e+00,2.000000e+01,3.054070e+00,3.017578e+00,2.989039e+00,-3.649223e-02,1.194872e-02,2.853859e-02
