Knot_index,x,y,sol_analytic,sol_PDDS_GM,sol_PDDS_EM,err,rerr,sbias
178,1.000000e+01,-1.555556e+01,3.434980e+00,3.447554e+00,3.407050e+00,1.257404e-02,3.660586e-03,4.050471e-02
179,1.000000e+01,-1.444444e+01,3.485711e+00,3.526076e+00,3.486955e+00,4.036521e-02,1.158020e-02,3.912112e-02
180,1.000000e+01,-1.333333e+01,3.527998e+00,3.534689e+00,3.488431e+00,6.690146e-03,1.896301e-03,4.625750e-02
181,1.000000e+01,-1.222222e+01,3.562624e+00,3.559273e+00,3.510348e+00,-3.350912e-03,9.405741e-04,4.892554e-02
182,1.000000e+01,-1.111111e+01,3.590244e+00,3.618742e+00,3.573670e+00,2.849717e-02,7.937389e-03,4.507178e-02
183,1.000000e+01,-1.000000e+01,3.611452e+00,3.618075e+00,3.567578e+00,6.623279e-03,1.833966e-03,5.049735e-02
184,1.000000e+01,-8.888889e+00,3.626840e+00,3.651522e+00,3.605971e+00,2.468227e-02,6.805448e-03,4.555104e-02
185,1.000000e+01,-7.777778e+00,3.637046e+00,3.650658e+00,3.614412e+00,1.361145e-02,3.742446e-03,3.624591e-02
186,1.000000e+01,-6.666667e+00,3.642775e+00,3.668048e+00,3.619074e+00,2.527236e-02,6.937665e-03,4.897375e-02
187,1.000000e+01,-5.555556e+00,3.644795e+00,3.677818e+00,3.629039e+00,3.302228e-02,9.060118e-03,4.877894e-02
188,1.000000e+01,-4.444444e+00,3.643908e+00,3.608564e+00,3.607556e+00,-3.534416e-02,9.699522e-03,1.007178e-03
189,1.000000e+01,-3.333333e+00,3.640890e+00,3.695173e+00,3.639330e+00,5.428377e-02,1.490948e-02,5.584352e-02
190,1.000000e+01,-2.222222e+00,3.636408e+00,3.685656e+00,3.647204e+00,4.924767e-02,1.354294e-02,3.845200e-02
191,1.000000e+01,-1.111111e+00,3.630919e+00,3.673668e+00,3.641471e+00,4.274922e-02,1.177367e-02,3.219742e-02
192,1.000000e+01,0.000000e+00,3.624565e+00,3.663725e+00,3.621331e+00,3.915960e-02,1.080394e-02,4.239410e-02
193,1.000000e+01,1.111111e+00,3.617104e+00,3.654822e+00,3.611982e+00,3.771831e-02,1.042777e-02,4.284022e-02
194,1.000000e+01,2.222222e+00,3.607894e+00,3.678533e+00,3.632942e+00,7.063931e-02,1.957910e-02,4.559078e-02
195,1.000000e+01,3.333333e+00,3.595953e+00,3.655998e+00,3.609836e+00,6.004475e-02,1.669787e-02,4.616234e-02
196,1.000000e+01,4.444444e+00,3.580107e+00,3.638632e+00,3.598131e+00,5.852510e-02,1.634730e-02,4.050129e-02
197,1.000000e+01,5.555556e+00,3.559191e+00,3.593113e+00,3.554756e+00,3.392164e-02,9.530714e-03,3.835742e-02
198,1.000000e+01,6.666667e+00,3.532290e+00,3.590113e+00,3.553607e+00,5.782374e-02,1.637005e-02,3.650621e-02
199,1.000000e+01,7.777778e+00,3.498947e+00,3.561539e+00,3.516864e+00,6.259212e-02,1.788885e-02,4.467489e-02
200,1.000000e+01,8.888889e+00,3.459298e+00,3.511175e+00,3.462124e+00,5.187796e-02,1.499667e-02,4.905115e-02
201,1.000000e+01,1.000000e+01,3.414055e+00,3.425961e+00,3.384804e+00,1.190692e-02,3.487618e-03,4.115707e-02
202,1.000000e+01,1.111111e+01,3.364363e+00,3.418109e+00,3.375529e+00,5.374653e-02,1.597525e-02,4.258034e-02
203,1.000000e+01,1.222222e+01,3.311568e+00,3.371932e+00,3.331387e+00,6.036350e-02,1.822807e-02,4.054460e-02
