Node_i, Node_x, Node_y,sol_analytic,sol_PDDS,err
48,1,4.8,1.99641,2.00072,0.00215858
49,1,4.9,1.80426,1.806,0.000963976
50,1,5,1.62672,1.62672,0
51,2,0,1.11001,1.11001,0
52,2,0.1,1.30868,1.31328,0.00352105
53,2,0.2,1.49943,1.51526,0.0105626
54,2,0.3,1.67465,1.65747,0.0102597
55,2,0.4,1.82736,1.83151,0.00226942
56,2,0.5,1.95148,1.94542,0.00310565
57,2,0.6,2.04205,2.05359,0.00565105
58,2,0.7,2.09546,2.10771,0.00584561
59,2,0.8,2.10958,2.10998,0.000188173
60,2,0.9,2.08385,2.10043,0.00795486
61,2,1,2.0193,2.0278,0.00420777
62,2,1.1,1.9185,1.91723,0.000662811
63,2,1.2,1.78547,1.77962,0.00327482
64,2,1.3,1.62551,1.6244,0.000683571
65,2,1.4,1.445,1.43275,0.00847247
66,2,1.5,1.25113,1.25633,0.0041577
67,2,1.6,1.05163,1.05178,0.000135914
68,2,1.7,0.854466,0.873296,0.0220368
69,2,1.8,0.667487,0.631105,0.0545055
70,2,1.9,0.498149,0.476116,0.0442298
71,2,2,0.353205,0.323864,0.08307
72,2,2.1,0.238432,0.210441,0.117395
73,2,2.2,0.158405,0.155182,0.0203511
74,2,2.3,0.116316,0.0701032,0.397306
75,2,2.4,0.113843,0.112612,0.0108094
76,2,2.5,0.151083,0.120687,0.201185
77,2,2.6,0.226552,0.213323,0.0583933
78,2,2.7,0.337242,0.309298,0.0828611
79,2,2.8,0.47874,0.453538,0.0526407
80,2,2.9,0.645404,0.608368,0.0573836
81,2,3,0.83059,0.785152,0.0547056
82,2,3.1,1.02692,0.99865,0.0275265
83,2,3.2,1.22656,1.18581,0.0332211
84,2,3.3,1.42155,1.41714,0.00310127
85,2,3.4,1.60412,1.62266,0.0115581
86,2,3.5,1.76699,1.72563,0.0234113
87,2,3.6,1.90367,1.88779,0.00834363
88,2,3.7,2.00871,2.01052,0.000896244
89,2,3.8,2.07793,2.0523,0.0123307
90,2,3.9,2.10855,2.09645,0.00574057
91,2,4,2.09937,2.09377,0.00266451
92,2,4.1,2.05074,2.04483,0.00288069
93,2,4.2,1.96461,1.94945,0.00771593
94,2,4.3,1.8444,1.86827,0.012938
95,2,4.4,1.69493,1.6704,0.014468
96,2,4.5,1.52213,1.54714,0.0164309
97,2,4.6,1.3329,1.35648,0.0176941
98,2,4.7,1.13478,1.12755,0.00637297
99,2,4.8,0.935682,0.940781,0.00544931
100,2,4.9,0.74353,0.762678,0.0257525
101,2,5,0.565988,0.565988,0
102,3,0,1.8892,1.8892,0
103,3,0.1,2.08787,2.06617,0.0103955
104,3,0.2,2.27862,2.28723,0.00377546
105,3,0.3,2.45385,2.48886,0.0142679
106,3,0.4,2.60656,2.57692,0.0113729
107,3,0.5,2.73067,2.74726,0.00607415
108,3,0.6,2.82124,2.827,0.00204028
109,3,0.7,2.87465,2.92107,0.016146
110,3,0.8,2.88878,2.92441,0.0123334
111,3,0.9,2.86305,2.88461,0.00752883
112,3,1,2.7985,2.82488,0.00942778
113,3,1.1,2.6977,2.67543,0.00825366
114,3,1.2,2.56467,2.59272,0.0109394
115,3,1.3,2.40471,2.4167,0.00498757
116,3,1.4,2.22419,2.25427,0.0135224
117,3,1.5,2.03032,2.03971,0.00462247
118,3,1.6,1.83083,1.77503,0.0304787
119,3,1.7,1.63366,1.63269,0.000595367
120,3,1.8,1.44668,1.44483,0.00127772
121,3,1.9,1.27735,1.26541,0.00934639
122,3,2,1.1324,1.12509,0.0064544
123,3,2.1,1.01763,1.02603,0.00825328
124,3,2.2,0.937602,0.931889,0.00609382
125,3,2.3,0.895513,0.920047,0.0273958
126,3,2.4,0.893039,0.895846,0.00314255
127,3,2.5,0.93028,0.950468,0.0217013
128,3,2.6,1.00575,1.04827,0.0422744
129,3,2.7,1.11644,1.07363,0.038347
130,3,2.8,1.25794,1.27304,0.0120034
131,3,2.9,1.4246,1.3859,0.0271681
132,3,3,1.60979,1.61077,0.000613602
133,3,3.1,1.80611,1.80603,4.65982e-05
134,3,3.2,2.00575,2.00927,0.00175294
135,3,3.3,2.20074,2.24341,0.019386
136,3,3.4,2.38332,2.35735,0.0108955
137,3,3.5,2.54619,2.53549,0.00420254
138,3,3.6,2.68287,2.7141,0.0116408
139,3,3.7,2.78791,2.80351,0.00559438
140,3,3.8,2.85712,2.836,0.00739241
141,3,3.9,2.88775,2.90712,0.00670941
142,3,4,2.87856,2.92287,0.0153922
143,3,4.1,2.82993,2.83683,0.00243732
144,3,4.2,2.7438,2.76472,0.00762316
145,3,4.3,2.6236,2.63964,0.00611368
146,3,4.4,2.47412,2.48685,0.00514579
147,3,4.5,2.30132,2.33449,0.0144126
148,3,4.6,2.1121,2.1226,0.00497586
149,3,4.7,1.91398,1.93794,0.0125193
150,3,4.8,1.71488,1.70126,0.00794101
151,3,4.9,1.52273,1.50399,0.0123075
152,3,5,1.34518,1.34518,0
153,4,0,3.06017,3.06017,0
154,4,0.1,3.25884,3.24874,0.00309959
155,4,0.2,3.44959,3.47209,0.00652211
156,4,0.3,3.62481,3.66927,0.0122636
157,4,0.4,3.77753,3.78444,0.00183034
158,4,0.5,3.90164,3.94729,0.0116987
159,4,0.6,3.99221,4.01503,0.00571512
160,4,0.7,4.04562,4.06182,0.00400317
161,4,0.8,4.05974,4.0856,0.00636853
162,4,0.9,4.03402,4.06547,0.00779603
163,4,1,3.96947,4.00878,0.00990405
164,4,1.1,3.86867,3.90179,0.00856304
165,4,1.2,3.73563,3.75629,0.00553037
166,4,1.3,3.57567,3.62793,0.0146147
167,4,1.4,3.39516,3.42304,0.00821182
168,4,1.5,3.20129,3.19405,0.00226265
169,4,1.6,3.0018,3.03285,0.0103445
170,4,1.7,2.80463,2.78703,0.006274
171,4,1.8,2.61765,2.60096,0.0063765
172,4,1.9,2.44831,2.46589,0.00717784
173,4,2,2.30337,2.32549,0.00960602
174,4,2.1,2.18859,2.23652,0.0218979
175,4,2.2,2.10857,2.12288,0.00678925
176,4,2.3,2.06648,2.08667,0.00977105
177,4,2.4,2.06401,2.09575,0.0153807
178,4,2.5,2.10125,2.13444,0.0157996
179,4,2.6,2.17671,2.20623,0.0135605
180,4,2.7,2.2874,2.34018,0.0230709
181,4,2.8,2.4289,2.47743,0.0199799
182,4,2.9,2.59557,2.65842,0.0242142
183,4,3,2.78075,2.88519,0.0375554
184,4,3.1,2.97708,3.06737,0.0303278
185,4,3.2,3.17672,3.26105,0.0265464
186,4,3.3,3.37171,3.44413,0.0214785
187,4,3.4,3.55428,3.6247,0.0198121
188,4,3.5,3.71716,3.74452,0.00736097
189,4,3.6,3.85384,3.85428,0.000114698
190,4,3.7,3.95888,3.97261,0.00346919
191,4,3.8,4.02809,4.04767,0.00486119
192,4,3.9,4.05871,4.08522,0.00653169
193,4,4,4.04953,4.07121,0.00535321
194,4,4.1,4.0009,4.01916,0.00456266
195,4,4.2,3.91477,3.90495,0.00250723
196,4,4.3,3.79457,3.81588,0.00561764
197,4,4.4,3.64509,3.63138,0.0037611
198,4,4.5,3.47229,3.43925,0.00951528
199,4,4.6,3.28306,3.27768,0.00163811
200,4,4.7,3.08495,3.1296,0.0144738
201,4,4.8,2.88584,2.87674,0.0031557
202,4,4.9,2.69369,2.71477,0.00782516
203,4,5,2.51615,2.51615,0
204,0,1,4.0093,4.0093,0
205,0.1,1,3.99807,3.9962,0.000468421
206,0.2,1,3.96463,3.967,0.000597575
207,0.3,1,3.90974,3.90416,0.00142951
208,0.4,1,3.83463,3.80551,0.00759431
